MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241001,IA,6.02,93.98,23.20,1.29,0.00,0.00,2024-10-01,2024-10-07,1
20240924,IA,6.02,93.98,10.20,0.00,0.00,0.00,2024-09-24,2024-09-30,1
20240917,IA,0.00,100.00,4.42,0.00,0.00,0.00,2024-09-17,2024-09-23,1
20240910,IA,34.91,65.09,0.00,0.00,0.00,0.00,2024-09-10,2024-09-16,1
20240903,IA,56.64,43.36,0.00,0.00,0.00,0.00,2024-09-03,2024-09-09,1
20240827,IA,62.13,37.87,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
20240820,IA,96.63,3.37,0.00,0.00,0.00,0.00,2024-08-20,2024-08-26,1
20240813,IA,97.45,2.55,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,1
20240806,IA,97.50,2.50,0.00,0.00,0.00,0.00,2024-08-06,2024-08-12,1
20240730,IA,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-30,2024-08-05,1
20240723,IA,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-23,2024-07-29,1
20240716,IA,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-16,2024-07-22,1
20240709,IA,99.19,0.81,0.00,0.00,0.00,0.00,2024-07-09,2024-07-15,1
20240702,IA,87.72,12.28,0.00,0.00,0.00,0.00,2024-07-02,2024-07-08,1
20240625,IA,80.22,19.78,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,IA,69.17,30.83,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,IA,83.65,16.35,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,IA,76.97,23.03,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,IA,75.73,24.27,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,IA,66.42,33.58,20.91,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,IA,52.54,47.46,27.43,16.09,0.00,0.00,2024-05-14,2024-05-20,1
20240507,IA,40.30,59.70,37.31,19.35,0.00,0.00,2024-05-07,2024-05-13,1
20240430,IA,30.11,69.89,49.89,22.28,2.44,0.00,2024-04-30,2024-05-06,1
20240423,IA,23.52,76.48,58.00,26.82,2.66,0.00,2024-04-23,2024-04-29,1
20240416,IA,14.71,85.29,66.20,30.68,7.43,0.00,2024-04-16,2024-04-22,1
20240409,IA,14.72,85.28,67.33,32.14,10.55,0.00,2024-04-09,2024-04-15,1
20240402,IA,9.65,90.35,70.58,33.43,11.53,0.00,2024-04-02,2024-04-08,1
20240326,IA,9.65,90.35,71.27,34.90,12.09,0.00,2024-03-26,2024-04-01,1
20240319,IA,2.26,97.74,83.77,55.37,19.82,0.00,2024-03-19,2024-03-25,1
20240312,IA,0.86,99.14,84.39,56.37,20.18,0.00,2024-03-12,2024-03-18,1
20240305,IA,0.89,99.11,79.70,56.37,20.18,0.00,2024-03-05,2024-03-11,1
20240227,IA,0.78,99.22,79.04,56.37,18.58,0.00,2024-02-27,2024-03-04,1
20240220,IA,4.19,95.81,78.22,56.37,18.58,0.00,2024-02-20,2024-02-26,1
20240213,IA,5.24,94.76,78.22,56.37,18.58,0.00,2024-02-13,2024-02-19,1
20240206,IA,5.24,94.76,78.22,56.37,18.58,0.00,2024-02-06,2024-02-12,1
20240130,IA,5.24,94.76,78.41,56.37,18.58,0.00,2024-01-30,2024-02-05,1
20240123,IA,3.67,96.33,80.08,60.24,24.08,0.00,2024-01-23,2024-01-29,1
20240116,IA,3.69,96.31,80.05,63.04,27.80,0.00,2024-01-16,2024-01-22,1
20240109,IA,2.77,97.23,83.41,65.09,34.62,0.00,2024-01-09,2024-01-15,1
20240102,IA,2.77,97.23,83.41,65.09,35.18,0.00,2024-01-02,2024-01-08,1
20231226,IA,2.66,97.34,83.41,65.09,35.18,0.00,2023-12-26,2024-01-01,1
20231219,IA,0.71,99.29,84.33,65.83,35.18,0.00,2023-12-19,2023-12-25,1
20231212,IA,0.57,99.43,84.33,62.08,27.47,0.00,2023-12-12,2023-12-18,1
20231205,IA,0.57,99.43,84.33,62.08,27.47,0.00,2023-12-05,2023-12-11,1
20231128,IA,1.04,98.96,83.66,58.07,27.47,0.00,2023-11-28,2023-12-04,1
20231121,IA,1.04,98.96,83.66,58.07,27.47,0.00,2023-11-21,2023-11-27,1
20231114,IA,1.79,98.21,82.71,58.07,27.47,0.00,2023-11-14,2023-11-20,1
20231107,IA,1.80,98.20,82.71,53.72,23.69,0.00,2023-11-07,2023-11-13,1
20231031,IA,1.80,98.20,81.34,53.36,23.69,0.00,2023-10-31,2023-11-06,1
20231024,IA,0.03,99.97,94.37,58.47,23.78,0.00,2023-10-24,2023-10-30,1
20231017,IA,0.03,99.97,93.57,58.45,23.78,0.00,2023-10-17,2023-10-23,1
20231010,IA,0.00,100.00,95.75,67.41,27.42,3.07,2023-10-10,2023-10-16,1
20231003,IA,0.00,100.00,95.75,67.41,27.35,3.07,2023-10-03,2023-10-09,1
20230926,IA,0.01,99.99,95.65,67.41,25.00,1.17,2023-09-26,2023-10-02,1
