station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,snow_in,snowd_in,climo_high_f,climo_low_f,climo_precip_in
SET,2024-01-01,35,31,27,24,0,6.8649125,298.51538,69.16065,72.367836,78.339096,0,0,40.3,23.6,0.11
K02,2024-01-01,,,,,,,,,,,,,40.5,25,0.1
JLN,2024-01-01,38,21,25,19,0,3.3890073,354.63046,61.502964,72.68201,88.0248,,,44.7,25.7,0.07
STJ,2024-01-01,40,24,24,20,0,5.8221407,246.42369,54.386032,71.58036,88.18114,,,37.4,17.9,0.03
POF,2024-01-01,37,33,26,23,0,5.995936,346.71442,58.98921,64.19758,69.39407,,,44.5,28.1,0.14
RAW,2024-01-01,33.8,23,24.8,23,,3.1272085,353.14697,64.22933,76.70558,100,,,42.8,23.2,0.05
SGF,2024-01-01,36,21,25,19,0,4.5186763,340.0134,63.71796,74.7775,88.07725,0,0,44,24.9,0.1
VER,2024-01-01,94.5,20.5,27.5,23.5,,3.6341465,295.87012,71.32303,80.92854,92.40274,,,38.8,21.6,0.06
LRY,2024-01-01,37.4,26.6,26.6,23,,2.9059234,316.18958,64.69628,78.669044,92.8597,,,39.1,22,0.05
EZZ,2024-01-01,37,25,24,21,,6.1463413,255.77837,57.694206,77.91275,93.53237,,,35.2,16.8,0.04
FYG,2024-01-01,33.8,28.4,28.4,24.8,,2.4703832,305.09796,69.25431,77.77875,92.8597,,,40.4,20.7,0.09
LXT,2024-01-01,38,26,25,21,0,5.2138577,257.87466,58.98921,72.43052,81.16704,,,39.5,22.8,0.04
RCM,2024-01-01,35.6,26.6,26.6,23,,3.745583,268.95657,59.786438,75.84025,86.281944,,,41.2,19.8,0.04
SIK,2024-01-01,37.4,33.8,30.2,26.6,,4.055749,340.61453,69.46363,74.547714,80.50772,,,44.4,29,0.13
VIH,2024-01-01,32,21,24,19,0,5.300755,305.1418,69.04303,76.45725,88.12936,,,41,23.5,0.08
PCD,2024-01-01,36.7,32,28.4,24.6,,6.4599304,314.76584,65.29973,72.29433,78.149155,,,40.5,25,0.1
LBO,2024-01-01,33.8,24.8,23,21.2,,3.1114984,330.40735,59.53118,72.38035,85.96025,,,42.6,23.3,0.11
COU,2024-01-01,32,22,24,20,0,5.7352433,291.68265,69.04303,78.54484,91.90275,0,0,39.9,23.4,0.07
SUS,2024-01-01,34,26,26,22,0,5.4745502,311.48087,69.277664,73.74903,84.6589,0,0,41.5,23.2,0.09
MKC,2024-01-01,39,27,24,21,0,4.6924715,263.16943,54.386032,70.1854,81.16704,,,40.4,23.2,0.03
GLY,2024-01-01,35.6,21.2,24.8,19.4,,2.8850174,321.40878,59.786438,76.40861,100,,,41.1,20.4,0.06
MBY,2024-01-01,32,26.6,24.8,21.2,,5.2229967,285.13272,68.82976,73.73532,79.923134,,,38,20.9,0.06
CGI,2024-01-01,38,34,28,25,0,6.95181,339.12183,59.131485,65.56016,78.42651,,,43.2,27.2,0.12
BBG,2024-01-01,37.4,24.8,26.6,24.8,,3.3867595,324.48563,60.03962,78.41655,100,,,43,27.2,0.09
CDJ,2024-01-01,37,24,23,20,0,3.041417,250.07362,56.567196,74.36432,88.23258,,,37.1,19.6,0.04
MAW,2024-01-01,37.4,35.6,30.2,26.6,,5.240418,345.21143,64.69628,71.13501,80.50772,,,45.7,28,0.11
GPH,2024-01-01,35.6,23,24.8,21.2,,2.9860628,300.3176,59.786438,73.97424,92.74416,,,38.1,18.4,0.03
